NAME,POS,PARTY,DIST,TERM
"Thatcher, Gilbert",Representative,Democrat,4,1933
"Theobald, Evan B.",Representative,Democrat,19,1935
"Theurer, Gary L.",Representative,Republican,8,1967
"Thomas, David H.",Representative,Republican,8,"1939-1941, 1963"
"Thomas, David L.",Senator,Republican,18,2003-2006
"Thomas, E. G.",Representative,Republican,8,1953-1955
"Thomas, H. R.",Representative,,14,1917-1919
"Thomas, Richard K.",Senator,,6,1899-1901
"Thompson, Jacob",Representative,,14,1927-1929
"Thompson, Mike",Representative,Republican,59,2001-2004
"Thompson, Orvil L.",Representative,,19,"1896, 1905-1909"
"Thompson, Peter",Representative,,14,1896
"Thomson, James",Representative,,8,1897
"Thoresen, Ingwald C.",Representative,,2,1897
"Thoresen, Ross E.",Representative,Republican,8,"1951, 1955"
"Thorn, Grant S.",Senator,Republican,7,1951-1957
"Thorne, James T.",Representative,,11,1896
"Thorne, James D.",Representative,,11,1921
"Thorne, Milton J.",Representative,Democrat,1,1939-1941
"Thornley, John W.",Representative,,6,1909-1911
"Thornley, John W.",Senator,,3,1913-1915
"Thornton, J. W.",Senator,Democrat,7,1937
"Throckmorton, Matt",Representative,Republican,65,1999-2002
"Thurston, Clarence",Representative,Democrat,5,1951
"Thurston, Glen",Representative,Republican,"5, 59",1963-1970
"Thurston, Norman K",Representative,Republican,64,2015-2019
"Tidwell, D. A.",Representative,Democrat,15,1937
"Tietjen, Charles A.",Representative,,11,1903
"Tietjen, H. Roland",Representative,Republican,18,1949-1951
"Tietjen, H. Roland",Senator,Republican,10,1953-1955
"Tilton, Aaron",Representative,Republican,65,2005-2008
"Tingey, Allen S.",Representative,,8,1931
"Tingey, LeRoy D.",Representative,Republican,11,1957
"Tingey, T. J.",Representative,,3,1927-1931
"Tinker, John",Representative,Republican,29,1963-1965
"Tippetts, A. I.",Representative,Democrat,14,1949
"Tippetts, A. I.",Senator,Democrat,9,1951-1953
"Tobias, W. H.",Representative,,8,1911
"Tolton, John F.",Representative,,20,"1905-1907, 1917, 1927"
"Tomlinson, David L.",Representative,Republican,44,1983-1986
"Toronto, Lamont F.",Representative,Republican,8,1947
"Tracy, Aaron W.",Representative,Democrat,4,1959-1963
"Turner, C. Elmo",Representative,Republican,"23, 26",1971-1976
"Turner, Joan R.",Representative,Republican,22,1980
"Tuttle, Daniel H.",Representative,Democrat,"52, 22",1985-1999
"Twitchell, Milton",Representative,Republican,23,1935-1941
"Tyler, A. Lamont",Representative,Republican,36,1995-2002
"Uipi, Phil H.",Representative,Republican,"33, 36",1991-1994
"Ulibarri, John E.",Representative,Democrat,50,1977-1978
"Ure, David",Representative,Republican,53,1993-2006
"Urie, Rita A.",Representative,Democrat,1,1973-1974
"Urquhart, Stephen H.",Representative,Republican,75,2001-2008
"Urquhart, Stephen H.",Senator,Republican,29,2009-2016
"Urry, A. LeRoy",Representative,Republican,8,1957
"Valentine, John L.",Representative,Republican,"59, 58",1989-1998
"Valentine, John L.",Senator,Republican,14,1999-2014
"Van Tassell, Kevin T.",Senator,Republican,26,2007-2018
"Vance, Elizabeth",Representative,Democrat,4,"1951-1957, 1961-1965"
"VanHorne, W. G.",Representative,,8,1901
"VanWagoner, William L.",Representative,Republican,10,"1901, 1913-1915, 1933"
"Vernon, Weston",Representative,Democrat,2,1933
"Vest, H. Grant",Senator,Democrat,5,1945-1947
"Vickers, Evan J.",Representative,Republican,72,2009-2012
"Vickers, Evan J.",Senator,Republican,28,2013-2019
"Vincent, LaMar",Representative,Democrat,22,1971-1972
"Voigt, Gale E.",Representative,Democrat,14,1991-1992
"Waddingham, Thorpe A.",Senator,Democrat,"8, 26, 28","1959-1965, 1971-1972, 1977-1980"
"Waddoups, Michael G.",Representative,Republican,"47, 39",1987-1996
"Waddoups, Michael G.",Senator,Republican,6,1997-2012
"Wahlstrom, Norman O.",Representative,Republican,58,1977-1980
"Waldrip, Steve",Representative,Republican,8,2019
"Waldron, David R.",Senator,Democrat,1,1965
"Walker, Carlene M.",Senator,Republican,8,2001-2008
"Walker, D. S.",Representative,Democrat,8,1945
"Walker, Harry B.",Representative,Democrat,8,"1943-1945, 1949-1951"
"Walker, Mark W.",Representative,Republican,45,2005-2008
"Walker, Olene S.",Representative,Republican,"1, 24",1981-1988
"Wall, Peter G.",Representative,Republican,29,1933
"Wallace, John M.",Senator,Democrat,6,1933-1935
"Wallace, Peggy",Representative,Republican,42,2001-2006
"Wallis, C. Brent",Representative,Republican,10,2009-2010
"Walsh, Richard L.",Representative,Republican,40,1997-2001
"Walton, Wesley K.",Senator,,"3, 6","1905-1907, 1917"
"Wangsgaard, Reid",Representative,Republican,2,1955-1957
"Ward, J. Welton",Representative,Democrat,1,1943
"Ward, J. Welton",Senator,Democrat,1,1945-1947
"Ward, Raymond P.",Representative,Republican,19,2015-2019
"Warner, Dale J.",Representative,Republican,10,1985-1988
"Warner, Elisha",Representative,Democrat,11,1941
"Warner, Elisha",Senator,Democrat,7,1943-1945
"Warner, Keith C.",Senator,Democrat,21,1975-1978
"Warner, Malin M.",Senator,,7,1896
"Warner, William L.",Representative,Republican,18,1947
"Warnick, Boyd L.",Representative,Republican,49,1985-1988
"Warnick, Charles L.",Representative,,11,1915
"Warnick, Robert W.",Representative,Republican,20,1969
"Warnick, Wilford W.",Senator,,7,1923-1925
"Warren, Marvin F.",Representative,Democrat,"11, 43, 40","1959-1965, 1971-1972, 1975-1976"
"Warrum, Noble",Senator,,2,1896
"Wasden, Jed W.",Representative,Republican,40,1985-1990
"Washburn, Dewain C.",Representative,Democrat,"65, 72",1971-1978
"Watkins, Christine F.",Representative,Republican,69,"2009-2012, 2017-2019"
"Watkins, Reed A.",Representative,Republican,8,1963
"Watson, David L.",Senator,Republican,29,1993-1997
"Watson, Edward H.",Representative,Democrat,8,1937
"Watson, Edward H.",Senator,Democrat,6,"1941, 1951-1953"
"Watt, Kevin",Representative,Republican,9,1979-1980
"Watts, Charles W.",Representative,,19,1903
"Way, Glenn L.",Representative,Republican,66,1997-2002
"Wayman, Wallace R.",Representative,Democrat,15,1933
"Wayment, Dona M.",Senator,Republican,21,1982-1986
"Wayment, Sherman A.",Senator,Republican,21,"1973-1974, 1979-1981"
"Webb, R. Curt",Representative,Republican,5,"2003-2004, 2008-2018"
"Webster, John J. G.",Representative,,24,1909
"Weggeland, Gordon",Representative,Democrat,8,1937
"Weggeland, Gordon",Senator,Democrat,6,1939-1941
"Weight, Elizabeth",Representative,Democrat,31,2017-2019
"Weiler, Todd",Senator,Republican,23,2012-2019
"Welch, Charles A.",Representative,,5,1899
"Welch, Charles",Representative,Republican,8,1955-1963
"Welch, Charles",Senator,Republican,"6, 3",1965-1971
"Welch, George W.",Representative,,8,1921
"Welling, Arthur",Representative,,8,1919
"Welling, Milton H.",Representative,,1,1911-1913
"Welling, Tracy R.",Senator,,1,1929-1931
"Wells, Rulon S.",Representative,,8,1901
"Welsh, Henry",Representative,,9,1925
"West, James H. C.",Representative,Democrat,8,1953
"Weston, Samuel",Representative,,3,1907
"Weston, Todd G.",Representative,Republican,60,1973-1978
"Westphal, Charles F.",Representative,,11,1907
"Westphal, Charles F.",Senator,,6,1925-1927
"Westwood, John R.",Representative,Republican,72,2013-2018
"Wharton, Blaze D.",Representative,Democrat,"10, 26",1982-1992
"Wharton, Blaze D.",Senator,Democrat,3,1993-1999
"Whatcott, Carl H.",Representative,Democrat,19,1959
"Wheatley, John G.",Representative,,1,1923
"Wheatley, Mark A.",Representative,Democrat,35,2005-2019
"Wheeler, Claude V.",Representative,,13,1897-1899
"Wheeler, George G.",Representative,Republican,34,1967
"Wheeler, Richard W.",Representative,Republican,68,2005-2007
"Whitaker, George A.",Senator,,6,1897
"White, Beverly J.",Representative,Democrat,"57, 64, 21",1972-1990
"White, Charles H.",Representative,,11,1909-1911
"White, James J.",Representative,Democrat,62,1979-1982
"White, LeRoy D.",Representative,Democrat,1,1947-1953
"White, Robert B.",Representative,,20,1923
"White, W. R.",Representative,Democrat,4,1941-1945
"White, William E.",Representative,,21,1903
"Whitesides, Joe E.",Representative,Republican,12,1975-1982
"Whiting, Harold J.",Representative,Republican,43,1967-1970
"Whiting, Heber",Representative,Republican,2,1945-1947
"Whiting, Wayne C.",Representative,Democrat,10,1935-1937
"Whitman, Grant A.",Senator,Democrat,4,1969-1972
"Whitmore, George C.",Senator,,8,1901-1903
"Whitmore, L. E.",Representative,,15,1921
"Whitney, Orson F.",Senator,,6,1899-1901
"Whittaker, Earl H.",Representative,Republican,21,"1943, 1965"
"Whittaker, James L.",Representative,,21,1925
"Wiberg, V. DeMont",Representative,Democrat,12,1991-1992
"Widdison, James G.",Representative,,4,1917
"Wight, L. B.",Senator,,5,1913-1915
"Wilcox, John W.",Representative,,4,1913
"Wilcox, Keith W.",Representative,Republican,43,1979-1980
"Wilcox, LaVern",Representative,Democrat,46,1973-1978
"Wilcox, Ryan D.",Representative,Republican,7,2009-2014
"Wilde, Logan",Representative,Republican,53,2017-2019
"Wiley, Larry B.",Representative,Democrat,31,2005-2014
"Wilkins, Robert A.",Representative,,13,1923
"Wilkinson, Finley F.",Representative,Republican,6,1957-1963
"Wilkinson, Homer F.",Representative,Republican,"16, 17",1967-1976
"Williams, F. D.",Senator,Republican,8,1939-1941
"Williams, Faye E.",Representative,Republican,5,1947
"Williams, Floyd D.",Representative,Democrat,9,1941
"Williams, Nephi L.",Representative,,16,1917
"Williams, Russell S.",Representative,Democrat,"15, 55",1961-1967
"Williams, Sylvester",Representative,,22,1917
"Williams, Terry Lee",Representative,Democrat,9,1981-1982
"Williams, Terry Lee",Senator,Democrat,1,1983-1986
"Williams, William N.",Representative,,8,1901
"Williams, William N.",Senator,,6,1903-1913
"Wilson, Brad R.",Representative,Republican,15,2011-2019
"Wilson, Ernest I.",Representative,Democrat,13,1959
"Wilson, Everett W.",Representative,,8,1897
"Wilson, James B.",Representative,,10,1903-1905
"Wilson, James B.",Senator,,5,1909-1911
 ,Representative,,10,1927-1931
"Wilson, Jeril B.",Representative,Republican,62,1987-1990
"Wilson, William W.",Representative,,8,1896
"Wimmer, Carl",Representative,Republican,52,2007-2011
"Wimmer, Warren S.",Representative,Democrat,51,1977-1980
"Winans, C. K.",Representative,,4,1927
"Winder, George",Representative,Democrat,8,1935-1937
"Winder, M. Shirley",Representative,,8,1921
"Winder, M. Shirley",Senator,,6,1923-1925
"Winder, Mike",Representative,Republican,30,2017-2019
"Wineriter, Florien J.",Representative,Democrat,8,1957
"Wing, John W.",Representative,,11,1915
"Winget, Glen",Representative,Democrat,18,1937
"Winn, Bradley A.",Representative,Republican,"57, 68","2001-2003, 2007-2009"
"Winterton, Ronald",Senator,Republican,26,2019
"Winterton, Van D.",Representative,Republican,28,1957
"Witucki, James C.",Representative,Democrat,23,1983-1984
"Wolstenholme, Lily C.",Representative,,8,1915
"Wood, Charles G.",Representative,,2,1921-1925
"Wood, Merrill J.",Representative,Republican,8,1951
"Wood, William D.",Representative,Democrat,4,1937-1941
"Woodbury, Evan J.",Representative,Democrat,25,1955-1957
"Woodbury, John S.",Representative,,24,1929-1931
"Woodmansee, Gerald L.",Representative,Democrat,"11, 5",1969-1978
"Woodruff, A. H.",Representative,,8,1931
"Woodruff, Elias S.",Representative,,8,1925-1927
"Woodward, Hugh M.",Senator,Democrat,7,1935
"Woolley, Dilworth S.",Representative,Republican,8,1949-1951
"Woolley, Dilworth S.",Senator,Republican,6,1953-1955
"Woolley, Eugene T.",Representative,,7,1911
"Woolsey, Nathella Griffin",Representative,Democrat,23,1961
"Wootton, John H.",Representative,,11,"1905, 1909-1911"
"Wootton, John H.",Senator,,7,1915-1917
"Workman, Dale H.",Representative,Republican,51,1969-1971
"Wright, Bill",Representative,Republican,67,1989-2000
"Wright, Bill",Senator,Republican,"17, 13",2001-2004
 ,Representative,Republican,68,2010-2012
"Wright, Isaac K.",Senator,,10,1897-1899
"Wyatt, Scott L",Representative,Republican,5,2005-2007
"Wyatt, Spencer",Representative,Democrat,6,1985-1988
"Yardley, James F.",Representative,Republican,73,1983-1994
"Yorgason, R. Milton",Senator,Republican,13,1967-1969
"Young, B. Spencer",Representative,,8,1933
"Young, Clifford E.",Senator,Republican,7,1927-1933
"Young, Grant",Representative,,8,1929
"Young, Lawrence J.",Representative,Democrat,15,1957
"Young, Malcolm C.",Representative,Republican,54,1967-1970
"Young, Max W.",Representative,Democrat,"36, 71","1989-1992, 2001-2002"
"Young, Orson W.",Representative,Democrat,4,1949
"Young, R. W.",Representative,,8,1917
"Young, Welby W.",Representative,Republican,10,1949-1953
"Zehnder, Brian",Senator,Republican,8,2018
"Ziemer, Charles A.",Representative,,4,1911
"Zolman, David L.",Representative,Republican,39,1997-2001
"Zundel, Abraham",Senator,,1,1896
